	location_id	location_name
0	8193	Floyd Co., Georgia, USA
1	2	Jegdalek ruby deposit, Surobi District, Kabul, Afghanistan
2	4100	Diamond Hill, Ashaway, Hopkinton, Washington Co., Rhode Island, USA
3	5	Kunar, Afghanistan
4	7	Mawi pegmatite, Nilaw-Kolum pegmatite field, Du Ab District, Nuristan, Afghanistan
5	8	Laghman, Afghanistan
6	25260	Mount Corchia, Stazzema, Lucca Province, Tuscany, Italy
7	32778	Copper Rose Mine, San Lorenzo, Georgetown District, Grant Co., New Mexico, USA
8	11	Ladjuar Medam, Sar-e Sang, Koksha Valley, Khash & Kuran Wa Munjan Districts, Badakhshan, Afghanistan
9	8204	South Baldface Mountain localities, Chatham, Carroll Co., New Hampshire, USA
10	8194	Green Road Quarry, Ballyclare, Co. Antrim, Northern Ireland, UK
11	18549	Noril'sk, Putoran Plateau, Taimyr Peninsula, Taymyrskiy Autonomous Okrug, Krasnoyarsk Krai, Russia
12	4111	Custer District, Custer Co., South Dakota, USA
13	8208	Julia Mine, Herne, Ruhr Coal Mining area, North Rhine-Westphalia, Germany
14	17	Constantine Province, Algeria
15	22531	Cashin Mine, La Sal District, Montrose Co., Colorado, USA
16	12309	U.S 40 Roadcut, Catoctin Mt, Myersville, Frederick Co., Maryland, USA
17	8214	Bolaños, Bolaños Municipality, Jalisco, Mexico
18	4	Paprok, Kamdesh District, Nuristan, Afghanistan
19	4122	Tip Top Mine, Fourmile, Custer District, Custer Co., South Dakota, USA
20	4123	Indian Mountain, Cherokee Co., Alabama, USA
21	4125	Elmwood mine, Carthage, Central Tennessee Ba-F-Pb-Zn District, Smith Co., Tennessee, USA
22	4128	Mariposa Mine, Terlingua District, Brewster Co., Texas, USA
23	2736	Siberian Federal District, Russia
24	22534	Bowman property, West Hermon, St. Lawrence Co., New York, USA
25	4135	Terlingua District, Brewster Co., Texas, USA
26	660	Inca de Oro, Chañaral/Copiapó Provinces, Atacama Region, Chile
27	42	Capillitas mining district, Andalgalá Department, Catamarca Province, Argentina
28	690	Tierra Amarilla, Copiapó Province, Atacama, Chile
29	8238	Little Plains Quarry, Blue Tier district, Break O'Day municipality, Tasmania, Australia
30	5469	Gelbe Birke Mine, Beierfeld, Grünhain-Beierfeld, Schwarzenberg mining district, Erzgebirge District, Saxony, Germany
31	8240	Fluorite mine, Valzergues, Aveyron, Occitanie, France
32	8242	Gioia Quarries, Casette, Massa, Massa-Carrara Province, Tuscany, Italy
33	25267	Argentiera di Sant'Anna Mines, Sant'Anna di Stazzema, Stazzema, Lucca Province, Tuscany, Italy
34	8248	Garpenberg Norra Mine, Garpenberg, Hedemora, Dalarna County, Sweden
35	4153	Centennial Eureka Mine, Eureka, Tintic District, East Tintic Mts, Juab Co., Utah, USA
