,mineral_id,mineral_name
0,7024,Levinsonite-(Y)
1,4098,Uralite
2,4099,Uralolite
3,2114,Jordisite
4,2325,Lanthanite-(Ce)
5,4102,Uraninite
6,4103,Uranmicrolite (of Hogarth 1977)
7,4105,Uranocircite
8,10,Acanthite
9,4107,Uranophane
10,2061,Jacobsite
11,17,Achtaragdite
12,18,Actinolite
13,4116,Uranpyrochlore (of Hogarth 1977)
14,21,Adamite
15,2070,Jamborite
16,2072,Jamesonite
17,4,Abhurite
18,4122,Ussingite
19,6831,Brendelite
20,28,Adularia
21,4125,Uvarovite
22,4126,Uvite Series
23,31,Aegirine
24,10272,Garnet Group
25,1,Abelsonite
26,2054,Isokite
27,4134,Valencianite
28,39,Aeschynite-(Y)
29,26664,Manganese Oxides
30,41,Afghanite
31,2090,Jeremejevite
32,4139,Vanadinite
33,44,Agardite-(Y)
34,46,Agardite
35,48,Agardite-(Ce)
36,50,Agardite-(La)
37,2099,Joaquinite-(Ce)
38,2100,Joesmithite
39,2593,Matlockite
40,4150,Vantasselite
41,2103,Johannsenite
42,1746,Greenockite
43,4156,Variscite
44,2058,Jacobsite-Q
45,2259,Kosnarite
46,2112,Jonesite
47,2113,Jordanite
48,66,Ajoite
49,2115,Joséite
50,10308,Whiteite
51,4169,Verdelite
52,74,Aktashite
53,10315,Gismondine
54,4173,Versiliaite
55,2126,Kaatialaite
56,4175,Vésigniéite
57,4176,Veszelyite
58,1912,Hochelagaite
59,4178,Viitaniemiite
60,4181,Villiaumite
61,87,Aluminocopiapite
62,2185,Kentrolite
63,89,Alabandite
64,91,Alacránite
65,2746,Molybdenite
66,357,Arsenic
67,96,Albite
68,2145,Kambaldaite
69,4194,Vivianite
70,4196,Vlasovite
71,2149,Chromian Clinochlore
72,2150,Kamotoite-(Y)
73,2151,Kamphaugite-(Y)
74,4200,Volborthite
75,2153,Kaňkite
76,2156,Kaolinite
77,109,Alexandrite
78,10351,Moroxite
79,114,Algodonite
80,4211,Vrbaite
81,2164,Kashinite
82,2165,Kasolite
83,26743,Cuprian Halloysite
84,2169,Katoptrite
85,4220,Väyrynenite
